"n","S","Tot.incid","C_jacc","C_jacc_Z_sim2","C_jacc_Z_IT","B_jacc","B_jacc_Z_sim2","B_jacc_Z_IT"
17,71,376,0.168281775890369,0.246991354694373,-0.0497490181572871,0.348240834317128,3.12245796016087,1.62044469424816
12,25,117,0.207617965367965,-0.00111513855111422,0.0495077391259809,0.409578856971905,1.71497662286459,1.2783141004931
51,12,241,0.235860941769685,1.81683418990254,1.32423782609072,0.587861528449764,2.46536770776878,1.46121594713585
25,10,142,0.342948555145733,0.617096651751843,1.12400336432059,0.689568783068783,2.10932036905833,1.67621748339228
30,7,112,0.329287439613527,1.37872784868707,1.25621734716325,0.650815544608648,1.61673367959649,1.26882113054354
20,23,139,0.24288578874431,1.01068936539042,0.408740945836652,0.265525692487767,1.29525374659686,0.633134299915405
11,65,142,0.124484508547009,0.0664017041803561,-0.290901032862766,0.133658755857153,0.408805468151576,0.0732291391729192
24,61,392,0.130486628190208,0.244443115212056,-0.0606045675419812,0.449324740360741,4.7935172980171,2.19570752054275
4,40,110,0.512179487179487,-0.0418397114759658,0.335491944153824,0.646514161220044,2.07615793107386,3.28021795094391
3,34,74,0.554664289958408,-0.0733441845747372,0.205455134419589,0.608960573476703,0.634818318837601,2.59056877066223
12,102,167,0.294717623022806,0.949545873291242,0.087773166328596,0.0809296554240855,0.851395501543752,0.424380192996085
31,9,119,0.375627593589578,1.76947448222729,1.35034199518935,0.309751664106503,0.539436279460115,0.200885663032398
5,13,36,0.377136752136752,-0.0507284450451753,0.200474153390793,0.354444444444444,-0.210899598543679,0.456335741278575
5,15,47,0.508412698412698,0.461614886555357,0.578538427116203,0.484115884115884,0.57015776655447,1.34515360313464
5,9,27,0.550462962962963,0.925948713144773,0.661271493041366,0.417857142857143,0.49435780266256,0.815114379580911
4,4,13,0.708333333333333,0.156250906442843,1.13699224128598,0.625,-0.940518724799306,0.906823946951689
4,3,12,1,NA,2.12269048821061,1,NA,1.7381635797029
51,41,285,0.159832678015748,1.60948441599484,0.456868272892084,0.122011379828039,0.939264506193671,0.124971832741479
9,23,92,0.292714411192672,0.463500892080672,0.0806464682696168,0.560875492064217,2.99809940583907,2.01159899018428
15,22,94,0.145102840882062,0.133949685106709,-0.117003340136335,0.336995306281021,1.6488216108231,0.956008011760617
15,31,127,0.142426957749538,0.176729927517989,-0.156027677257342,0.307215713259499,1.79240962587215,0.949383161640554
3,62,115,0.55676009166226,0.510648852363282,0.18175846740416,0.414119570028177,0.120112962886128,1.94715653992655
8,65,270,0.385824748168498,0.501621671132436,0.431670694778603,0.505651880741385,3.08648575466555,2.96695674542624
