Spec_interaction,EF,BEF,ISA,CSA,ITA,CTA,Comm_assembly,Spec_coexistence,Comm_composition,Diversity,S_comp_change,Beta,Species_accumulation,Dist_decay,Div_comp_gradient,Relative_commoness,Beta_related,Comm_comparison,First_author,Year,Title,Journal,Volume,Pages,DOI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Collin, R",1995,"Sex, size, and position: A test of models predicting size at sex change",AMERICAN NATURALIST,146,815-831,10.1086/285826
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lutnesky, MMF",1995,Female female competition in a coral reef fish and a test of the,AMERICAN NATURALIST,146,832-847,10.1086/285827
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thomas, ALR",1995,How natural selection shapes birds' tails,AMERICAN NATURALIST,146,848-868,10.1086/285828
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vepsalainen, K",1995,Operational sex ratios and mating conflict between the sexes in the,AMERICAN NATURALIST,146,869-880,10.1086/285829
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"vanBaalen, M",1995,The dynamics of multiple infection and the evolution of virulence,AMERICAN NATURALIST,146,881-910,10.1086/285830
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ives, AR",1995,Measuring competition in a spatially heterogeneous environment,AMERICAN NATURALIST,146,911-936,10.1086/285831
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Schmitt, J",1995,A test of the adaptive plasticity hypothesis using transgenic and mutant,AMERICAN NATURALIST,146,937-953,10.1086/285832
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dugatkin, LA",1995,Formalizing Allee's ideas on dominance hierarchies: An intrademic,AMERICAN NATURALIST,146,954-960,10.1086/285833
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Case, TJ",1995,Surprising behavior from a familiar model and implications for,AMERICAN NATURALIST,146,961-966,10.1086/285834
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Milonoff, M",1995,Brood-size-dependent offspring mortality in common goldeneyes,AMERICAN NATURALIST,146,967-974,10.1086/285835
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TAKAHASI, K",1995,2-LOCUS HAPLOID AND DIPLOID MODELS FOR THE COEVOLUTION OF CULTURAL,AMERICAN NATURALIST,146,651-684,10.1086/285819
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GERITZ, SAH",1995,EVOLUTIONARILY STABLE SEED POLYMORPHISM AND SMALL-SCALE SPATIAL,AMERICAN NATURALIST,146,685-707,10.1086/285820
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CLARKE, GM",1995,THE GENETIC-BASIS OF DEVELOPMENTAL STABILITY .2. ASYMMETRY OF EXTREME,AMERICAN NATURALIST,146,708-725,10.1086/285821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RHEN, T",1995,PHENOTYPIC PLASTICITY FOR GROWTH IN THE COMMON SNAPPING TURTLE - EFFECTS,AMERICAN NATURALIST,146,726-747,10.1086/285822
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SOUTHWICK, EE",1995,EFFECTS OF HORIZON LANDMARKS ON HOMING SUCCESS IN HONEY-BEES,AMERICAN NATURALIST,146,748-764,10.1086/285823
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ZIMOV, SA",1995,STEPPE-TUNDRA TRANSITION - A HERBIVORE-DRIVEN BIOME SHIFT AT THE END OF,AMERICAN NATURALIST,146,765-794,10.1086/285824
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YAN, GY",1995,SELECTION BY PARASITES ON COMPONENTS OF FITNESS IN TRIBOLIUM BEETLES -,AMERICAN NATURALIST,146,795-813,10.1086/285825
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LYNCH, M",1995,MUTATION ACCUMULATION AND THE EXTINCTION OF SMALL POPULATIONS,AMERICAN NATURALIST,146,489-518,10.1086/285812
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"STEWARTOATEN, A",1995,ESTIMATION OF TEMPORAL VARIABILITY IN POPULATIONS,AMERICAN NATURALIST,146,519-535,10.1086/285813
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"HUISMAN, J",1995,COMPETITION FOR NUTRIENTS AND LIGHT IN A MIXED WATER COLUMN - A,AMERICAN NATURALIST,146,536-564,10.1086/285814
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OKSANEN, T",1995,IDEAL FREE HABITAT SELECTION AND CONSUMER-RESOURCE DYNAMICS,AMERICAN NATURALIST,146,565-585,10.1086/285815
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TSUJI, K",1995,REPRODUCTIVE CONFLICTS AND LEVELS OF SELECTION IN THE ANT PRISTOMYRMEX,AMERICAN NATURALIST,146,586-607,10.1086/285816
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"STRATTON, DA",1995,SPATIAL SCALE OF VARIATION IN FITNESS OF ERIGERON ANNUUS,AMERICAN NATURALIST,146,608-624,10.1086/285817
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENS, BJ",1995,THE DESPOTIC DISTRIBUTION AND DEFERRED MATURITY - 2 SIDES OF THE SAME,AMERICAN NATURALIST,146,625-650,10.1086/285818
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ROSS, KG",1995,JOINT INFLUENCE OF GENE FLOW AND SELECTION ON A REPRODUCTIVELY IMPORTANT,AMERICAN NATURALIST,146,325-348,10.1086/285803
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LORD, J",1995,"SEED SIZE AND PHYLOGENY IN 6 TEMPERATE FLORAS - CONSTRAINTS, NICHE",AMERICAN NATURALIST,146,349-364,10.1086/285804
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LUCAS, JR",1995,ON ALTERNATIVE REPRODUCTIVE TACTICS IN ANURANS - DYNAMIC-GAMES WITH,AMERICAN NATURALIST,146,365-397,10.1086/285805
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PIANKA, ER",1995,EVOLUTION OF BODY-SIZE - VARANID LIZARDS AS A MODEL SYSTEM,AMERICAN NATURALIST,146,398-414,10.1086/285806
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HART, MW",1995,WHAT ARE THE COSTS OF SMALL EGG SIZE FOR A MARINE INVERTEBRATE WITH,AMERICAN NATURALIST,146,415-426,10.1086/285807
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AYRE, DJ",1995,"AGGRESSION, HABITUATION, AND CLONAL COEXISTENCE IN THE SEA-ANEMONE",AMERICAN NATURALIST,146,427-453,10.1086/285808
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAGER, RG",1995,PROXIMATE AND ULTIMATE ASPECTS OF PHENOTYPIC PLASTICITY IN TIMING OF,AMERICAN NATURALIST,146,454-474,10.1086/285809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MURRAY, BG",1995,ON THE EVOLUTION OF MATING SYSTEMS - A COMMENT ON ARNOLD AND DUVALL,AMERICAN NATURALIST,146,475-478,10.1086/285810
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DOEBELI, M",1995,UPDATING GILLESPIE WITH CONTROLLED CHAOS,AMERICAN NATURALIST,146,479-487,10.1086/285811
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHRISTY, JH",1995,"MIMICRY, MATE CHOICE, AND THE SENSORY TRAP HYPOTHESIS",AMERICAN NATURALIST,146,171-181,10.1086/285793
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SUNDSTROM, L",1995,SEX ALLOCATION AND COLONY MAINTENANCE IN MONOGYNE AND POLYGYNE COLONIES,AMERICAN NATURALIST,146,182-201,10.1086/285794
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OLIVIERI, I",1995,METAPOPULATION GENETICS AND THE EVOLUTION OF DISPERSAL,AMERICAN NATURALIST,146,202-228,10.1086/285795
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SHIGESADA, N",1995,MODELING STRATIFIED DIFFUSION IN BIOLOGICAL INVASIONS,AMERICAN NATURALIST,146,229-251,10.1086/285796
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GILCHRIST, GW",1995,SPECIALISTS AND GENERALISTS IN CHANGING ENVIRONMENTS .1. FITNESS,AMERICAN NATURALIST,146,252-270,10.1086/285797
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFISTER, CA",1995,ESTIMATING COMPETITION COEFFICIENTS FROM CENSUS-DATA - A TEST WITH FIELD,AMERICAN NATURALIST,146,271-291,10.1086/285798
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SCHLUTER, D",1995,PARALLEL SPECIATION BY NATURAL-SELECTION,AMERICAN NATURALIST,146,292-301,10.1086/285799
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BROWN, L",1995,DO PRIMATES EXPERIENCE SPERM COMPETITION,AMERICAN NATURALIST,146,302-306,10.1086/285800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SIMMONS, LW",1995,"COURTSHIP FEEDING IN KATYDIDS (ORTHOPTERA, TETTIGONIIDAE) - INVESTMENT",AMERICAN NATURALIST,146,307-315,10.1086/285801
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRANK, SA",1995,SEX ALLOCATION IN SOLITARY BEES AND WASPS,AMERICAN NATURALIST,146,316-323,10.1086/285802
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GODFRAY, HCJ",1995,SIGNALING OF NEED BETWEEN PARENTS AND YOUNG - PARENT-OFFSPRING CONFLICT,AMERICAN NATURALIST,146,1-24,10.1086/285784
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BYERS, JA",1995,REFINING THE MOTOR TRAINING HYPOTHESIS FOR THE EVOLUTION OF PLAY,AMERICAN NATURALIST,146,25-40,10.1086/285785
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"STAMPS, J",1995,MOTOR LEARNING AND THE VALUE OF FAMILIAR SPACE,AMERICAN NATURALIST,146,41-58,10.1086/285786
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KALAS, JA",1995,THE EFFECT OF MATING PROBABILITY ON RISK-TAKING - AN EXPERIMENTAL-STUDY,AMERICAN NATURALIST,146,59-71,10.1086/285787
