Type,Term,Year,Count,Perc
ISA,attraction*,2019,20,6.78
ISA,attraction*,2018,47,15.932
ISA,attraction*,2017,29,9.831
ISA,attraction*,2016,32,10.847
ISA,attraction*,2015,20,6.78
ISA,attraction*,2014,29,9.831
ISA,attraction*,2013,28,9.492
ISA,attraction*,2012,20,6.78
ISA,attraction*,2011,16,5.424
ISA,attraction*,2010,9,3.051
ISA,attraction*,2009,8,2.712
ISA,attraction*,2008,7,2.373
ISA,attraction*,2007,3,1.017
ISA,attraction*,2006,7,2.373
ISA,attraction*,2005,3,1.017
ISA,attraction*,2004,5,1.695
ISA,attraction*,2003,1,0.339
ISA,attraction*,2002,3,1.017
ISA,attraction*,2001,3,1.017
ISA,attraction*,1998,1,0.339
ISA,attraction*,1997,3,1.017
ISA,attraction*,1996,1,0.339
Classic biodiversity patterns,beta NEAR/0 diversit*,2019,302,10.335
Classic biodiversity patterns,beta NEAR/0 diversit*,2018,374,12.799
Classic biodiversity patterns,beta NEAR/0 diversit*,2017,329,11.259
Classic biodiversity patterns,beta NEAR/0 diversit*,2016,298,10.198
Classic biodiversity patterns,beta NEAR/0 diversit*,2015,264,9.035
Classic biodiversity patterns,beta NEAR/0 diversit*,2014,218,7.461
Classic biodiversity patterns,beta NEAR/0 diversit*,2013,187,6.4
Classic biodiversity patterns,beta NEAR/0 diversit*,2012,171,5.852
Classic biodiversity patterns,beta NEAR/0 diversit*,2011,130,4.449
Classic biodiversity patterns,beta NEAR/0 diversit*,2010,143,4.894
Classic biodiversity patterns,beta NEAR/0 diversit*,2009,92,3.149
Classic biodiversity patterns,beta NEAR/0 diversit*,2008,99,3.388
Classic biodiversity patterns,beta NEAR/0 diversit*,2007,63,2.156
Classic biodiversity patterns,beta NEAR/0 diversit*,2006,60,2.053
Classic biodiversity patterns,beta NEAR/0 diversit*,2005,42,1.437
Classic biodiversity patterns,beta NEAR/0 diversit*,2004,36,1.232
Classic biodiversity patterns,beta NEAR/0 diversit*,2003,26,0.89
Classic biodiversity patterns,beta NEAR/0 diversit*,2002,21,0.719
Classic biodiversity patterns,beta NEAR/0 diversit*,2001,16,0.548
Classic biodiversity patterns,beta NEAR/0 diversit*,2000,10,0.342
Classic biodiversity patterns,beta NEAR/0 diversit*,1999,14,0.479
Classic biodiversity patterns,beta NEAR/0 diversit*,1998,8,0.274
Classic biodiversity patterns,beta NEAR/0 diversit*,1997,9,0.308
Classic biodiversity patterns,beta NEAR/0 diversit*,1996,4,0.137
ISA,C-score,2019,3,14.286
ISA,C-score,2018,3,14.286
ISA,C-score,2017,1,4.762
ISA,C-score,2015,1,4.762
ISA,C-score,2014,1,4.762
ISA,C-score,2013,2,9.524
ISA,C-score,2011,1,4.762
ISA,C-score,2009,4,19.048
ISA,C-score,2007,2,9.524
ISA,C-score,2006,1,4.762
ISA,C-score,2005,1,4.762
ISA,C-score,2004,1,4.762
ISA,ecosim*,2019,7,11.864
ISA,ecosim*,2018,7,11.864
ISA,ecosim*,2017,3,5.085
ISA,ecosim*,2016,5,8.475
ISA,ecosim*,2015,7,11.864
ISA,ecosim*,2014,3,5.085
ISA,ecosim*,2013,5,8.475
ISA,ecosim*,2012,3,5.085
ISA,ecosim*,2011,3,5.085
ISA,ecosim*,2010,2,3.39
ISA,ecosim*,2009,6,10.169
